Kitap Adı,Yazar,Okumak İsteyenler,Şu Anda Okuyanlar,Okumuş Olanlar,Zaman,Dil,Sayfa Sayısı,Yayıncı
On The Beach,"by Nevil Shute, Gideon Haigh, G. C. Thornley, SparkNotes Staff ve SparkNotes",113,4,13,1957,İngilizce,320,W. Morrow
Chroniques martiennes,by Ray Bradbury,461,16,145,1991,Fransızca,150,Denoel
The Food of the Gods,by H. G. Wells,116,8,10,2024,İngilizce,140,Standard Ebooks
2001 l'odyssée de l'espace,by Arthur C. Clarke,405,21,160,"Mar 09, 1980",İngilizce,120,J'Ai Lu
The Invisible Man,by H. G. Wells,1300,85,154,2017,İngilizce,214,Standard Ebooks
A Princess of Mars,by Edgar Rice Burroughs,179,12,50,2014,İngilizce,540,Standard Ebooks
From the Earth to the Moon,by Jules Verne,83,2,22,2021,İngilizce,130,Standard Ebooks
The First Men in the Moon,by H. G. Wells,145,8,15,1901,İngilizce,342,"G. Newnes, limited"
Dune,by Frank Herbert,2350,186,538,"Nov 17, 1965",Fransızca,68,CHILTON
The Sleeper Awakes,by H. G. Wells,139,5,10,1921,İngilizce,202,Collins
Anthem,by Ayn Rand ve Erin Bateman,171,9,68,2013,İngilizce,56,Bella Orion Publishing
Rautakorko,by Jack London,139,8,14,2008-03-16,Fince,132,Project Gutenberg
Otostopçunun Galaksi Rehberi,by Douglas Adams,1379,93,299,2018,Türkçe,229,Alfa Yayinlari
We,by Евгений Иванович Замятин,134,10,45,2020,İngilizce,221,Standard Ebooks
Journey to the Center of the Earth,by Jules Verne,255,14,109,2020,İngilizce,147,Standard Ebooks
Le Meilleur Des Mondes,by Aldous Huxley,1950,101,568,2006-12,Fransızca,284,Plon
Phantastes,A Faerie Romance for Men and Women,185,15,14,1850,İngilizce,286,"Loring, Publisher"
The Time Machine,by H. G. Wells,843,75,161,2014,İngilizce,178,Standard Ebooks
La guerre des mondes,by H. G. Wells,747,48,196,1906,Fransızca,234,L. Vandamme & Co.
The Last Man,by Mary Shelley,110,13,10,1833,İngilizce,289,"Carey, Lea and Blanchard"
Flatland,by Edwin Abbott Abbott,473,21,131,2018,İngilizce,320,Standard Ebooks
It Can't Happen Here,by Sinclair Lewis,136,5,21,1935,İngilizce,258,"Doubleday, Doran & Company Inc."
The Island of Doctor Moreau,A Possibility,288,20,61,1896,İngilizce,223,Stone & Kimball
Fahrenheit 451,by Ray Bradbury,2516,128,587,2007,Türkçe,126,İthaki
Рассказ Служанки,by Margaret Atwood,2025,117,176,2016,Rusça,378,"Izdatelʹstvo ""Ė"""
Frankenstein,by Mary Shelley,1170,102,332,2022-02-15,İngilizce,226,"Ryerson Pressbooks, Pressbooks"
Cinler,by Фёдор Михайлович Достоевский,92,4,10,1984,Türkçe,159,Can
Ewrmi pin farsakh tēnizlēr altʻěnta sēyahatʻ,fēnni rōman,229,20,72,1892,Türkçe,283,K. Pipērean matʻpaasě
El juego de Ender,by Orson Scott Card,889,60,506,2009-06,İspanyolca,359,Zeta Bolsillo
銀のいす,by C.S. Lewis,260,15,80,1986,Japonca,346,Iwanami Shoten
さいごの戦い,by C.S. Lewis,232,10,115,1986,Japonca,294,Iwanami Shoten
Carli'nin büyük cam asanörü.,by Roald Dahl,290,20,85,1991,Türkçe,243,Can Yayinlari
Hayvan Çiftliği,Bir Peri Masalı,2243,191,781,2001,Türkçe,152,Can Yayınları
Genji monogatari,by Murasaki Shikibu,245,14,9,1928,Japonca,369,Yhd
The Lost World,by Arthur Conan Doyle,359,19,62,1964,İngilizce,302,John Murray
納尼亞傳奇：魔法師的外甥,by C.S. Lewis,498,26,164,2006,Çince,215,Da Tian
La variété Andromède,by Michael Crichton,331,22,120,1994-09,Fransızca,283,Pocket
Les enquêtes d'Hercule Poirot,by Agatha Christie,188,16,44,1993,Fransızca,201,Librairie des Champs-Elysees
1984,by George Orwell,4320,290,613,2019-04-25,Türkçe,352,Can Yayınları
Hard Times,"by Charles Dickens, García de García de Luna, juan bravo, Elisa Esgasa ve Emilia Pardo Bazán",168,19,23,2018,İngilizce,Sayfa sayısı bilgisi yok,Standard Ebooks
The Secret Agent,A Simple Tale,196,17,18,1907,İngilizce,142,B. Tauchnitz
El caso extraño del Doctor Jekyll,by Robert Louis Stevenson,819,49,212,1891,İspanyolca,174,D. Appleton y compañía
"The Lion, the Witch and the Wardrobe",by C.S. Lewis,1185,91,186,2004,İngilizce,214,HarperCollins
The Wonderful Wizard of Oz,by L. Frank Baum,890,66,161,2018,İngilizce,222,Standard Ebooks
Der Goldene Kompass. Filmbuch,by Philip Pullman,616,31,268,2007-10-31,Almanca,328,Carlsen Verlag GmbH
Dracula,by Bram Stoker,1032,98,254,2019,Türkçe,520,Can Yayinlari
記憶受領員,by Lois Lowry,1694,131,435,1995,Çince,287,智茂文化
Karamazov Kardeşler,by Фёдор Михайлович Достоевский,393,19,67,2019,Türkçe,1025,Türkiye İş Bankası Kültür Yayınları
Dönüsüm,by Franz Kafka,1486,97,194,"Apr 13, 2017",Türkçe,124,Baris Kitap
O Símbolo Perdido,by Dan Brown,400,25,146,2012-08,Portekizce,829,11 17
Iki kule,by J.R.R. Tolkien,652,50,347,1999,Türkçe,210,Metis Yayinlari
Around the World in Eighty Days,by Jules Verne,252,17,103,2014,İngilizce,187,Standard Ebooks
A Wrinkle in Time,Time Quintet #1,996,60,241,2005,İngilizce,187,"Penguin Books, Penguin Books, Limited (UK)"
Açlık Oyunları 1,by Suzanne Collins,3959,277,679,"Oct 18, 2015",Türkçe,420,Dex Yayinevi
Hobbit,by J.R.R. Tolkien,2807,240,674,"Nov 01, 2000",Türkçe,146,Ithaki Yayinlari
A Clockwork Orange,by Anthony Burgess,764,21,98,2000,İngilizce,141,Penguin Classics
Das magische Messer,by Philip Pullman,217,6,148,2007,Almanca,171,Carlsen
Harry Potter Büyülü Taş,by J. K. Rowling,13612,1181,1221,1999,Türkçe,265,Dost Kitabevi Yayinlari
Carrie,by Stephen King,1750,113,272,1978,Fransızca,109,Editions J'ai Lu
Common sense,"addressed to the inhabitants of America, on the following interesting subjects : I. Of the origin and design of government in general, with concise remarks on the English Constitution. II. Of monarchy and hereditary succession. III. Thoughts on the present state of American affairs. IV. Of the present ability of America, with some miscellaneous reflections.",122,9,18,1776,İngilizce,99,Printed and sold by W. and T. Bradford
Moby Dick,by Herman Melville,1087,74,192,2018,İngilizce,312,Standard Ebooks
Alacakaranlık,by Stephenie Meyer,3704,287,510,"Nov 07, 2017",Türkçe,400,Epsilon Yayinevi
A Doll’s House,by Henrik Ibsen ve Henrik Ibsen,110,8,14,2021,İngilizce,456,Standard Ebooks
